Row,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18
"L OL EVC Area HOc1 (V1, 17, CalcS)",16.4121051133669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R OL EVC Area HOc1 (V1, 17, CalcS)",16.3931315814439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L OL EVC Area HOc2 (V2, 18)",10.3405748980173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R OL EVC Area HOc2 (V2, 18)",14.9511431552984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L OL EVC Area HOc3d [V3d]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R OL EVC Area HOc3d [V3d]",0.464851532112703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L OL EVC Area hOc3v [Vp/V3v]",0.132814723460772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R OL EVC Area hOc3v [Vp/V3v]",0.0758941276918698,0,0,0,0,0,0,0,0,0,0.173010380622837,0,0,0,0,0,0,0
"L OL EVC Area hOc4d [V3a]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R OL EVC Area hOc4d [V3a]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L OL EVC Area hOc4v [V4/V4v]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R OL EVC Area hOc4v [V4/V4v]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L OL LOC Area hOc4la [LO-1 obj]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R OL LOC Area hOc4la [LO-1 obj]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L OL LOC Area hOc4lp [LO-2 obj/body]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R OL LOC Area hOc4lp [LO-2 obj/body]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L OL LOC Area hOc5 [MT+/V5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R OL LOC Area hOc5 [MT+/V5]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L OL POS Area hOc6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R OL POS Area hOc6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L OL POS Area hPO1 [V6]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R OL POS Area hPO1 [V6]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L PL IPS Area hIP1 [vIPS]",0,0,0,2.60234091854316,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R PL IPS Area hIP1 [vIPS]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L PL IPS Area hIP2 [aIPS]",0,0,0,4.67589566870655,0.114975567691865,0,0,0,0,0,0,0,0,0,0,0,0,0
"R PL IPS Area hIP2 [aIPS]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L PL IPS Area hIP3 [post alPS/IPS4/DIPSA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R PL IPS Area hIP3 [post alPS/IPS4/DIPSA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L PL IPS Area hIP4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R PL IPS Area hIP4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L PL IPS Area hIP5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R PL IPS Area hIP5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L PL IPS Area hIP6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R PL IPS Area hIP6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L PL IPS Area hIP7 [IPS0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R PL IPS Area hIP7 [IPS0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L PL IPS Area hIP8 [V6Av/IPS1]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R PL IPS Area hIP8 [V6Av/IPS1]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L PL SPL Area 7P [V6Ad]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R PL SPL Area 7P [V6Ad]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L PL SPL Area 7PC [vIPS]",0,0,0,0,8.73814314458178,0,0,0,0,0,0,0,0,0,0,0,0,0
"R PL SPL Area 7PC [vIPS]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L PL SPL Area 7A [DIPSM]",0,0,0,0.136652605311627,3.36303535498707,0,0,0,0,0,0,0,0,0,0,0,0,0
"R PL SPL Area 7A [DIPSM]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L PL SPL Area 7M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R PL SPL Area 7M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L PL SPL Area 5L",0,0,0,0,0.804828973843058,0,0,0,0,0,0,0,0,0,0,0,0,0
"R PL SPL Area 5L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L PL SPL Area 5LM",0,0.49927524561121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R PL SPL Area 5LM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L PL SPL Area 5LCi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R PL SPL Area 5LCi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L PL IPL Area PFt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R PL IPL Area PFt",0,0,0,0,0,0,0,12.1912693854107,0,0,0,0,0,0,0,0,0,0
"L PL IPL Area PGp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R PL IPL Area PGp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L PL IPL Area PFm",0,0,0,4.33129344661636,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R PL IPL Area PFm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L PL IPL Area PF",0,0,0,4.08769532410433,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R PL IPL Area PF",0,0,0,0,0,0,0.238526858124225,0,0,0,0,0,0,0,0,0,0,0
"L PL IPL Area PGa",0,0,0,7.46836195116155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R PL IPL Area PGa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L PL IPL Area PFop",0,0,0,0,0,0,0,0,0.133422281521014,0,0,0,0,0.871248789932236,0,0,0,0
"R PL IPL Area PFop",0,0,0,0,0,0,0,3.17346352670879,0,0,0,0,0,0,0,0,0,0
"L PL IPL Area PFcm",0,0,0,0,0,0,0,0,0.56704469646431,0,0,0,0,0,0,0,0,0
"R PL IPL Area PFcm",0,0,0,0,0,0,0.314855452723977,0,0,0,0,0,0,0,0,0,0,0
"L PL SOMA Area 1 (PostCG)",0,0,0,0,9.32739292900259,0,0,0,0,0,0,0,0,0,0,0,0,0
"R PL SOMA Area 1 (PostCG)",0,0,0,0,0,0,0,7.91211947156806,0,2.50347705146036,0,0,0,0,0,0,0,0
"L PL SOMA Area 2 (PostCS)",0,0,0,0,22.6070709974131,0,0,0,0,0,0,0,0,0,0,0,0,0
"R PL SOMA Area 2 (PostCS)",0,0,0,0,0,0,0,13.7708213670304,0,0,0,0,0,0,0,0,0,0
"L PL SOMA Area 3a (PostCG)",0,0,0,0,0.0718597298074159,0,0,0,0,0,0,4.72496473906911,0,0,0,0,0,0
"R PL SOMA Area 3a (PostCG)",0,0,0,0,0,0,0,0,0,0.417246175243394,0,0,0,0,0,0,0,0
"L PL SOMA Area 3b (PostCG)",0,0,0,0,1.04915205518827,0,0,0,0,0,0,1.97461212976023,0,0,0,0,0,0
"R PL SOMA Area 3b (PostCG)",0,0,0,0,0,0,0,4.5807007466973,0,0,0,0,0,0,0,0,0,0
"L PAR-OPER SOMA Area OP1 [SII proper]",0,0,0,0,0,0,0,0,0,0,0,0,0,4.71119716037431,0,0,0,0
"R PAR-OPER SOMA Area OP1 [SII proper]",0,0,0,0,0,0,0,0.962090752441126,0,0,0,0,0,0,0,0,0,0
"L PAR-OPER SOMA Area OP2 [PIVC]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R PAR-OPER SOMA Area OP2 [PIVC]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L PAR-OPER SOMA Area OP3 [VS of SII]",0,0,0,0,0,0,0,0,0,0,0,0,0,0.871248789932236,0,0,0,0
"R PAR-OPER SOMA Area OP3 [VS of SII]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L PAR-OPER SOMA Area OP4 [PV of SII]",0,0,0,0,0,0,0,0,0,0,0,0,0,28.2026460148435,0,0,0,0
"R PAR-OPER SOMA Area OP4 [PV of SII]",0,0,0,0,0,0,0,0.315910396323952,0,0,0,0,0,0,0,0,0,0
"L FL MOTOR Area 4a (PreCG) [M1]",0,14.4548236430987,0,0,0.158091405576315,0.197684269980232,0,0,0,0,0,0,0,0,0,0,0,0
"R FL MOTOR Area 4a (PreCG) [M1]",0,15.2520534707682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FL MOTOR Area 4p (PreCG) [M1]",0,0,0,0,0,0,0,0,0,0,0,15.0916784203103,0,0,0,0,0,0
"R FL MOTOR Area 4p (PreCG) [M1]",0,0,0,0,0,0,0,0,0,5.14603616133519,0,0,0,0,0,0,0,0
"L FL PREMOT Area 6d1 (Pre CG) [PMd proper]",0,0.0724754388790465,0,0,0,38.0824625811918,0,0,0,0,0,8.67418899858956,0,0,0,0,0,0
"R FL PREMOT Area 6d1 (Pre CG) [PMd proper]",0,1.20792398131744,0,0,0,0,0,0,0,59.7125637459434,0,0,0,0,0,0,0,0
"L FL PREMOT Area 6d2 (Pre CG)",0,0,0,0,0,4.17961027958204,0,0,0,0,0,0,0,0,0,0,0,0
"R FL PREMOT Area 6d2 (Pre CG)",0,0,0,0,0,0,0,0,0,11.5901715345387,0,0,0,0,0,0,0,0
"L FL PREMOT Area 6d3 (SFS) [Central PMd, hub]",0,0,0,0,0,0.0282406099971759,0,0,0,0,0,0,0,0,0,0,0,0
"R FL PREMOT Area 6d3 (SFS) [Central PMd, hub]",0,0,0,0,0,0,0,0,0,2.68891979601298,0,0,0,0,0,0,0,0
"L FL PREMOT Area 6ma (preSMA, mesial SFG)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R FL PREMOT Area 6ma (preSMA, mesial SFG)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FL PREMOT Area 6mp (SMA, mesial SFG)",0,2.10984055403447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R FL PREMOT Area 6mp (SMA, mesial SFG)",0,3.80093412787889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FL IFS Area IFJ1 (PreCS)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R FL IFS Area IFJ1 (PreCS)",0,0,0.402650784330174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FL IFS Area IFJ2 (PreCS)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R FL IFS Area IFJ2 (PreCS)",0,0,0.84724435869474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FL IFG Area 45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.64799364322606,0,0
"R FL IFG Area 45",0,0,11.6265413975338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FL IFG Area 44 (Broca's)",0,0,0,0,0,0,0,0,0,0,0,0,0,0.548564052920297,0,0,0,0
"R FL IFG Area 44 (Broca's)",0,0,0.637530408522775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FL IFS Area IFS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.90703218116806,0,0
"R FL IFS Area IFS1",0,0,1.30861504907306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FL IFS Area IFS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R FL IFS Area IFS2",0,0,0.0419427900343931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FL IFS Area IFS3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7938021454112,0,0
"R FL IFS Area IFS3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FL IFS Area IFS4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R FL IFS Area IFS4",0,0,0.0335542320275145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FL SFG Area 8d1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R FL SFG Area 8d1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FL SFG Area 8d2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R FL SFG Area 8d2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FL MFG Area 8v1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R FL MFG Area 8v1",0,0,0.0754970220619076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FL MFG Area 8v2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R FL MFG Area 8v2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FL ACC Area 33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R FL ACC Area 33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FL ACC Area s24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R FL ACC Area s24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FL ACC Area 25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R FL ACC Area 25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
